what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380427026519
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380427027519
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380427329339
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380427723769
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380427724378
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380427725488
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380427727142
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380427727424
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1380427728503
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1380427728503
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1380427728539
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1380427728555
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1380427728571
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1380427728571
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1380427728571
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1380427728571
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1380427728571
